"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.000117181306324614,0.635872110999681,0.288,0.236,1,"3","PPWD1"
0.000117320792167559,0.69116212161905,0.271,0.218,1,"3","ZCCHC2"
0.000120541394856585,0.708453739695613,0.321,0.278,1,"3","PRPF38A"
0.000120730028549774,0.679561850579102,0.325,0.284,1,"3","DPAGT1"
0.000124035375941431,0.624786933521946,0.349,0.305,1,"3","POP7"
0.000125273964970571,0.70358965066896,0.265,0.214,1,"3","RIOK1"
0.000139656049322834,0.672547160101151,0.325,0.28,1,"3","ASXL2"
0.000144764822845218,0.76290983347349,0.25,0.203,1,"3","GTF3C5"
0.000145232602871091,0.545205090688049,0.397,0.365,1,"3","CREBBP"
0.000155769284717661,0.785999429501547,0.252,0.203,1,"3","THOP1"
0.000168665657557403,0.523244023450623,0.395,0.356,1,"3","ELMSAN1"
0.00017548346308862,0.559233595057894,0.408,0.381,1,"3","PLAGL1"
0.000184916716058449,0.684256796262421,0.297,0.252,1,"3","MRPS22"
0.000187774310930701,0.553461399697204,0.308,0.253,1,"3","IGF2BP2"
0.000192783008874939,0.615264630290482,0.364,0.331,1,"3","OGFOD1"
0.000209498287283232,0.724459817601169,0.297,0.253,1,"3","COIL"
0.000211971629129092,0.719049546053792,0.302,0.262,1,"3","DPH3"
0.000215886001814643,0.541666576568411,0.404,0.379,1,"3","DDX23"
0.000221725129323826,0.513340139297376,0.404,0.372,1,"3","TFE3"
0.000222405807666784,0.576747254254718,0.358,0.32,1,"3","PIP5K1A"
0.00022379167048676,0.545129728546205,0.382,0.35,1,"3","ZNF609"
0.000241349686105438,0.541532522864916,0.391,0.365,1,"3","ASAP1"
0.000260848338545317,0.604344040078623,0.36,0.329,1,"3","SGTA"
0.000265085413889837,0.514354582147404,0.421,0.411,1,"3","MRPS2"
0.000283192462484263,0.740250801525317,0.256,0.209,1,"3","CCDC93"
0.000302426893370974,0.725693870971069,0.254,0.207,1,"3","MRPS18C"
0.000303434903897502,0.694895814999977,0.284,0.238,1,"3","LUCAT1"
0.00032096180162687,0.523077530766574,0.364,0.322,1,"3","TLE3"
0.000351918192187861,0.563454738289663,0.393,0.367,1,"3","PGM3"
0.00035633245850144,0.549122434952048,0.414,0.387,1,"3","NAV2"
0.000368444470354944,0.653315437305095,0.328,0.289,1,"3","WDR5"
0.000374022550886122,0.655791072780927,0.299,0.255,1,"3","BRWD1"
0.000381469057257798,0.67787528249809,0.302,0.264,1,"3","CBWD1"
0.000388926731837573,0.777552272836788,0.291,0.259,1,"3","LARP4"
0.000431423389006912,0.688952774242422,0.31,0.272,1,"3","PTGES3P1"
0.000471582927322706,0.7084821989993,0.273,0.23,1,"3","MTMR9"
0.000480311784360511,0.741190633909328,0.262,0.218,1,"3","TMEM5"
0.00048795988259137,0.745760274739673,0.275,0.236,1,"3","AC012065.5"
0.00048925914403595,0.525886263927182,0.377,0.347,1,"3","MBD3"
0.000507295110802275,0.536710642914688,0.365,0.333,1,"3","PPIH"
0.000538789974797198,0.762097173227815,0.25,0.206,1,"3","ATAD2"
0.000546133486508581,0.601385488429304,0.334,0.3,1,"3","NECAP1"
0.000582809081210545,0.514196343982071,0.401,0.383,1,"3","SNRPA"
0.000593731058999247,0.683709824431268,0.269,0.229,1,"3","MTAP"
0.000657918658366461,0.718145550125668,0.262,0.221,1,"3","FBXO22"
0.000664645566469616,0.650836095794085,0.341,0.318,1,"3","TRIAP1"
0.000666440357733529,0.760338886598366,0.275,0.24,1,"3","NHP2P1"
0.000688019965695923,0.675273938902505,0.293,0.255,1,"3","TAF3"
0.000710988543252322,0.771578658336152,0.269,0.234,1,"3","TEX10"
0.000720657300020899,0.579448660539853,0.353,0.323,1,"3","PPP6R3"
0.000776844433285137,0.571087029431315,0.378,0.359,1,"3","LRRC47"
0.000798895709187999,0.729161040118411,0.26,0.219,1,"3","NLN"
