"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","receptor","cell_type"
0.652425878322588,0.286106776290196,0.6,0.571,1,"IGF2R","Endothelial"
0.655402659855396,0.484068808665346,0.05,0.083,1,"BMPR1A","Endothelial"
0.655584850070922,0.347772860123829,0.15,0.107,1,"ITGA3","Endothelial"
0.664760188275534,-0.842838186382577,0.25,0.262,1,"ADIPOR2","Endothelial"
0.680023139987297,-0.132286114680469,0.85,0.964,1,"NCL","Endothelial"
0.70113285442768,0.593834682930461,0.1,0.071,1,"ACKR4","Endothelial"
0.711161611719219,-0.14401485014643,0.05,0.071,1,"PTCH1","Endothelial"
0.743344530826009,-0.480376523735752,0.25,0.274,1,"FZD6","Endothelial"
0.747594720447738,2.21824324533197,0.05,0.036,1,"TYRO3","Endothelial"
0.76642244186916,0.795631290642713,0.05,0.036,1,"ITGB4","Endothelial"
0.78538911815088,0.605478170624268,0.05,0.036,1,"IL1R2","Endothelial"
0.801642088868192,0.607309001938817,0.1,0.131,1,"MET","Endothelial"
0.8044840704393,0.564001835467952,0.05,0.036,1,"TLR4","Endothelial"
0.822105638088777,0.440424923546705,0.5,0.5,1,"BDKRB2","Endothelial"
0.822725217118732,-0.449707780691023,0.1,0.107,1,"ITGB3","Endothelial"
0.825441686327107,0.112345876917384,0.3,0.345,1,"IL17RA","Endothelial"
0.838312474822773,0.295213742590937,0.35,0.345,1,"CSF2RB","Endothelial"
0.87029387295263,-0.301990855208726,0.05,0.06,1,"FZD3","Endothelial"
0.871290960129685,0.574269585857819,0.2,0.238,1,"SDC3","Endothelial"
0.887681320974917,0.234352875735026,0.1,0.119,1,"EPOR","Endothelial"
0.903740860096627,0.535059902404902,0.1,0.095,1,"CNTNAP1","Endothelial"
0.909611039226248,0.106983101312621,0.65,0.667,1,"PLXND1","Endothelial"
0.919356651100193,0.279879404409723,0.15,0.143,1,"ACVR1B","Endothelial"
0.929740292605097,-0.137607808834404,0.55,0.488,1,"ITGA1","Endothelial"
0.937631644043394,0.187150386243088,0.25,0.286,1,"TNFRSF10A","Endothelial"
0.991123866667057,0.334711687541748,0.05,0.048,1,"ADORA2B","Endothelial"
0.993567146955373,0.200462094903024,0.1,0.095,1,"EPHB2","Endothelial"
4.43657908182568e-12,1.47350934053933,0.71,0.286,1.12631433150308e-07,"CMKLR1","Proliferating_S"
6.23108717904295e-12,0.921229233707226,0.914,0.729,1.58188610214363e-07,"NRP2","Proliferating_S"
4.35838050555749e-09,4.16143132587423,0.204,0.01,0.000110646205894588,"ITGB2","Proliferating_S"
